2484898766 function calls (2481869999 primitive calls) in 746.877 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.000    0.000 os.py:754(encode)
       42    0.000    0.000    0.000    0.000 os.py:758(decode)
       16    0.000    0.000    0.000    0.000 padding.py:123(__rich_measure__)
       32    0.000    0.000    0.000    0.000 padding.py:33(__init__)
       40    0.000    0.000    0.000    0.000 padding.py:60(unpack)
       60    0.000    0.000    0.001    0.000 padding.py:79(__rich_console__)
        1    0.000    0.000    0.000    0.000 palette.py:17(__getitem__)
        1    0.000    0.000    0.000    0.000 palette.py:44(match)
       16    0.000    0.000    0.000    0.000 palette.py:58(get_color_distance)
   116205    4.855    0.000  645.575    0.006 parallel.py:1000(__call__)
 11620500    4.982    0.000    9.152    0.000 parallel.py:199(__init__)
 11620500    0.905    0.000    0.905    0.000 parallel.py:242(__enter__)
 11620500    2.323    0.000    6.691    0.000 parallel.py:245(__exit__)
 11620500    2.988    0.000    4.368    0.000 parallel.py:248(unregister)
 11620500    5.561    0.000    6.773    0.000 parallel.py:271(__init__)
 11620500   10.618    0.000  346.579    0.000 parallel.py:284(__call__)
 11620500    4.290    0.000  319.213    0.000 parallel.py:288(<listcomp>)
 34861500    2.382    0.000    2.382    0.000 parallel.py:301(__len__)
 11620500    2.022    0.000    2.022    0.000 parallel.py:371(__init__)
 11620500   12.118    0.000   15.845    0.000 parallel.py:376(__call__)
   116204    0.076    0.000    0.668    0.000 parallel.py:411(effective_n_jobs)
   116205    0.478    0.000    2.600    0.000 parallel.py:669(__init__)
232410/116205    0.358    0.000    0.599    0.000 parallel.py:772(_initialize_backend)
   116205    0.035    0.000    0.044    0.000 parallel.py:797(_terminate_backend)
 11620500   16.348    0.000  397.157    0.000 parallel.py:801(_dispatch)
 11736705   36.073    0.000  626.432    0.000 parallel.py:838(dispatch_one_batch)
 11852909    9.291    0.000   24.242    0.000 parallel.py:89(get_active_backend)
   232410    0.028    0.000    0.028    0.000 parallel.py:904(_print)
 11620500    1.187    0.000    1.187    0.000 parallel.py:917(print_progress)
   116205    8.761    0.000   13.047    0.000 parallel.py:960(retrieve)
   116204    0.031    0.000    0.039    0.000 process.py:198(daemon)
   116204    0.010    0.000    0.010    0.000 process.py:37(current_process)
        8    0.000    0.000    0.000    0.000 progress.py:157(__init__)
       32    0.000    0.000    0.000    0.000 progress.py:162(get_table_column)
       16    0.000    0.000    0.000    0.000 progress.py:166(__call__)
        4    0.000    0.000    0.000    0.000 progress.py:264(__init__)
        8    0.000    0.000    0.000    0.000 progress.py:280(render)
        2    0.000    0.000    0.000    0.000 progress.py:302(__init__)
        4    0.000    0.000    0.000    0.000 progress.py:318(render)
        4    0.000    0.000    0.000    0.000 progress.py:351(render)
        2    0.000    0.000    0.000    0.000 progress.py:47(__init__)
       20    0.000    0.000    0.000    0.000 progress.py:484(get_time)
        4    0.000    0.000    0.000    0.000 progress.py:488(started)
        4    0.000    0.000    0.000    0.000 progress.py:507(finished)
        4    0.000    0.000    0.000    0.000 progress.py:512(percentage)
        2    0.000    0.000    0.000    0.000 progress.py:521(speed)
        4    0.000    0.000    0.000    0.000 progress.py:539(time_remaining)
